ID,time,cmt,evid,dv,amt
1,0,1,0,0,NA
1,0,2,0,50,NA
1,0,1,1,NA,1000
1,0.04,1,0,49.73123,NA
1,0.04,2,0,4.91075,NA
1,0.1,1,0,31.216343,NA
1,0.1,2,0,5.49637,NA
1,0.25,1,0,24.100302,NA
1,0.25,2,0,7.05474,NA
1,0.5,1,0,18.606424,NA
1,0.5,2,0,8.23863,NA
1,1,1,0,17.216904,NA
1,1,2,0,8.94776,NA
1,1.5,1,0,15.324745,NA
1,1.5,2,0,9.58889,NA
1,2,1,0,12.459643,NA
1,2,2,0,10.2978,NA
1,3,1,0,11.985376,NA
1,3,2,0,11.9391,NA
1,4,1,0,9.37368,NA
1,4,2,0,13.8959,NA
1,6,1,0,7.7204113,NA
1,6,2,0,18.7456,NA
1,8,1,0,4.6017323,NA
1,8,2,0,24.5406,NA
1,12,1,0,3.0028117,NA
1,12,2,0,35.9189,NA
2,0,1,0,0,NA
2,0,2,0,50,NA
2,0,1,1,NA,750
2,0.04,1,0,22.013882,NA
2,0.04,2,0,7.07959,NA
2,0.1,1,0,13.640536,NA
2,0.1,2,0,10.3125,NA
2,0.25,1,0,13.292158,NA
2,0.25,2,0,10.7249,NA
2,0.5,1,0,12.786202,NA
2,0.5,2,0,11.2202,NA
2,1,1,0,11.090313,NA
2,1,2,0,12.2981,NA
2,1.5,1,0,10.531055,NA
2,1.5,2,0,13.4954,NA
2,2,1,0,9.134276,NA
2,2,2,0,14.8131,NA
2,3,1,0,7.922758,NA
2,3,2,0,17.7958,NA
2,4,1,0,6.1166954,NA
2,4,2,0,21.1754,NA
2,6,1,0,4.542588,NA
2,6,2,0,28.5158,NA
2,8,1,0,2.4414084,NA
2,8,2,0,35.3294,NA
2,12,1,0,1.3998046,NA
2,12,2,0,43.8288,NA
3,0,1,0,0,NA
3,0,2,0,50,NA
3,0,1,1,NA,500
3,0.04,1,0,19.849648,NA
3,0.04,2,0,8.48468,NA
3,0.1,1,0,13.640536,NA
3,0.1,2,0,9.22608,NA
3,0.25,1,0,13.292158,NA
3,0.25,2,0,10.9996,NA
3,0.5,1,0,10.807068,NA
3,0.5,2,0,13.2726,NA
3,1,1,0,8.786587,NA
3,1,2,0,15.6679,NA
3,1.5,1,0,8.562179,NA
3,1.5,2,0,17.1228,NA
3,2,1,0,7.33109,NA
3,2,2,0,18.4746,NA
3,3,1,0,6.1963344,NA
3,3,2,0,21.3042,NA
3,4,1,0,5.1034656,NA
3,4,2,0,24.3006,NA
3,6,1,0,3.790109,NA
3,6,2,0,30.3706,NA
3,8,1,0,2.348478,NA
3,8,2,0,35.8188,NA
3,12,1,0,1.6561556,NA
3,12,2,0,43.0923,NA
4,0,1,0,0,NA
4,0,2,0,50,NA
4,0,1,1,NA,250
4,0.04,1,0,12.459643,NA
4,0.04,2,0,11.5892,NA
4,0.1,1,0,8.562179,NA
4,0.1,2,0,15.2531,NA
4,0.25,1,0,6.03808,NA
4,0.25,2,0,22.4137,NA
4,0.5,1,0,4.84611,NA
4,0.5,2,0,26.3215,NA
4,1,1,0,4.149326,NA
4,1,2,0,28.2763,NA
4,1.5,1,0,3.9400852,NA
4,1.5,2,0,29.821,NA
4,2,1,0,3.6458411,NA
4,2,2,0,31.324,NA
4,3,1,0,3.2874105,NA
4,3,2,0,34.1655,NA
4,4,1,0,2.4100301,NA
4,4,2,0,36.7227,NA
4,6,1,0,1.7898185,NA
4,6,2,0,40.832,NA
4,8,1,0,1.2141426,NA
4,8,2,0,43.6434,NA
4,12,1,0,0.72368664,NA
4,12,2,0,46.5103,NA
5,0,1,0,0,NA
5,0,2,0,50,NA
5,0,1,1,NA,125
5,0.04,1,0,7.6211843,NA
5,0.04,2,0,18.7133,NA
5,0.1,1,0,3.9913847,NA
5,0.1,2,0,27.7209,NA
5,0.25,1,0,3.1622777,NA
5,0.25,2,0,36.7104,NA
5,0.5,1,0,2.379055,NA
5,0.5,2,0,38.5164,NA
5,1,1,0,2.0903776,NA
5,1,2,0,39.7587,NA
5,1.5,1,0,1.7668147,NA
5,1.5,2,0,40.8483,NA
5,2,1,0,1.4741421,NA
5,2,2,0,41.8187,NA
5,3,1,0,1.312132,NA
5,3,2,0,43.4296,NA
5,4,1,0,1.1090313,NA
5,4,2,0,44.6577,NA
5,6,1,0,0.77204114,NA
5,6,2,0,46.253,NA
5,8,1,0,0.44842044,NA
5,8,2,0,47.1037,NA
5,12,1,0,0.2379055,NA
5,12,2,0,47.7698,NA
